Frame,x1,y1,x2,y2,Confidence
426,1347,74,1920,1007,0.2504662871360779
427,1582,79,1919,1021,0.27305346727371216
428,1583,79,1919,1021,0.2656935453414917
429,1582,79,1919,1021,0.26222383975982666
430,1582,79,1919,1021,0.26040247082710266
431,1582,79,1919,1021,0.25872716307640076
432,1581,79,1919,1021,0.25766921043395996
433,1580,79,1919,1021,0.25388047099113464
434,1580,79,1919,1021,0.2514438033103943
435,1580,79,1919,1021,0.2515779435634613
436,1580,79,1919,1021,0.2521388530731201
437,1580,79,1919,1021,0.2531780004501343
438,1580,79,1919,1021,0.26132282614707947
438,1350,74,1920,1007,0.25134941935539246
439,1579,79,1919,1021,0.255306214094162
440,1580,79,1919,1021,0.2531759440898895
441,1580,79,1919,1021,0.25417712330818176
442,1580,79,1919,1021,0.2538250684738159
443,1580,79,1919,1021,0.25393354892730713
444,1580,79,1919,1021,0.2535277009010315
445,1580,79,1919,1021,0.25687238574028015
446,23,75,872,1015,0.43453627824783325
446,788,328,1912,954,0.31242451071739197
447,1579,79,1919,1021,0.26895079016685486
447,1351,74,1920,1007,0.2560242712497711
448,1578,79,1919,1021,0.25677648186683655
448,1352,74,1920,1007,0.2506067752838135
449,23,76,875,1013,0.38883212208747864
449,1581,79,1919,1021,0.25927579402923584
449,699,328,1914,960,0.25080668926239014
450,1578,79,1919,1021,0.25000670552253723
452,1581,79,1919,1021,0.2510022819042206
453,20,80,679,1016,0.5462313890457153
453,722,328,1914,926,0.2574295699596405
453,1580,79,1919,1021,0.25712212920188904
454,23,76,972,1013,0.33649057149887085
454,1579,79,1919,1021,0.25336754322052
461,23,75,866,1014,0.41181543469429016
461,780,327,1912,893,0.27932339906692505
470,20,79,673,1017,0.5128046870231628
470,749,328,1914,881,0.2666526734828949
470,25,70,1044,1001,0.26182064414024353
472,20,79,671,1016,0.6780403256416321
472,749,328,1914,891,0.2936141788959503
472,25,70,980,1004,0.25197461247444153
474,24,75,817,1014,0.3502907156944275
475,23,75,894,1015,0.40479207038879395
475,786,327,1912,909,0.283624529838562
478,23,76,850,1013,0.4093458652496338
482,23,76,1060,1014,0.29423269629478455
489,1349,74,1920,1007,0.2510693073272705
494,1580,79,1919,1021,0.2508523762226105
495,1581,79,1919,1021,0.2531225383281708
496,1582,79,1919,1021,0.25872665643692017
497,1582,79,1919,1021,0.2585684359073639
498,1583,79,1919,1021,0.27576252818107605
499,1584,79,1919,1021,0.26164019107818604
528,271,70,1890,795,0.25677207112312317
529,91,65,1548,702,0.2629246711730957
530,71,65,1585,696,0.25862306356430054
606,32,62,1327,833,0.3312596082687378
607,31,63,1382,834,0.25700855255126953
611,24,74,1457,834,0.3238033652305603
612,28,63,1456,831,0.31752732396125793
613,28,63,1484,831,0.3189433813095093
614,27,62,1490,830,0.30337756872177124
615,27,62,1489,831,0.29977577924728394
616,27,63,1484,831,0.2724970281124115
617,27,63,1486,832,0.2654421329498291
618,32,62,1278,835,0.3048064708709717
619,31,62,1343,835,0.3108827471733093
622,442,321,1916,1022,0.2532041668891907
623,441,321,1916,1022,0.25391823053359985
624,508,320,1917,1013,0.25455954670906067
625,509,320,1917,1014,0.26503705978393555
626,505,321,1916,1018,0.2915426194667816
627,9,81,532,994,0.34225839376449585
